percentage,eta,threshold,momentum
0.5,0.1,0.015,0.1
0.5,0.5,0.015,0.1
0.5,0.9,0.015,0.1
0.5,0.1,0.015,0.5
0.5,0.1,0.015,0.9
0.5,0.5,0.015,0.5
0.5,0.5,0.015,0.9
0.5,0.9,0.015,0.5
0.5,0.9,0.015,0.9   
0.6,0.1,0.015,0.1
0.6,0.5,0.015,0.1
0.6,0.9,0.015,0.1
0.6,0.1,0.015,0.5
0.6,0.1,0.015,0.9
0.6,0.5,0.015,0.5
0.6,0.5,0.015,0.9
0.6,0.9,0.015,0.5
0.6,0.9,0.015,0.9
0.7,0.1,0.015,0.1
0.7,0.5,0.015,0.1
0.7,0.9,0.015,0.1
0.7,0.1,0.015,0.5
0.7,0.1,0.015,0.9
0.7,0.5,0.015,0.5
0.7,0.5,0.015,0.9
0.7,0.9,0.015,0.5
0.7,0.9,0.015,0.9
